character	token	ferquency(per million)	total coverage rate(%)
濬	252	0.13275 	99.98631 
銎	252	0.13275 	99.98632 
凇	252	0.13275 	99.98633 
羏	252	0.13275 	99.98635 
銀	252	0.13275 	99.98636 
鏦	251	0.13222 	99.98637 
襌	251	0.13222 	99.98639 
綠	251	0.13222 	99.98640 
調	250	0.13170 	99.98641 
唎	250	0.13170 	99.98643 
寫	250	0.13170 	99.98644 
爲	249	0.13117 	99.98645 
殂	248	0.13064 	99.98646 
嗉	248	0.13064 	99.98648 
铘	248	0.13064 	99.98649 
鞮	247	0.13011 	99.98650 
盡	247	0.13011 	99.98652 
眀	247	0.13011 	99.98653 
饫	247	0.13011 	99.98654 
檗	246	0.12959 	99.98656 
辏	246	0.12959 	99.98657 
鼙	246	0.12959 	99.98658 
璩	245	0.12906 	99.98659 
悛	245	0.12906 	99.98661 
純	244	0.12853 	99.98662 
彟	244	0.12853 	99.98663 
沚	244	0.12853 	99.98665 
褙	243	0.12801 	99.98666 
殘	243	0.12801 	99.98667 
煳	243	0.12801 	99.98668 
笕	243	0.12801 	99.98670 
鲥	243	0.12801 	99.98671 
尥	242	0.12748 	99.98672 
锍	242	0.12748 	99.98674 
劢	242	0.12748 	99.98675 
淒	242	0.12748 	99.98676 
嵊	242	0.12748 	99.98677 
轫	241	0.12695 	99.98679 
饧	241	0.12695 	99.98680 
隻	241	0.12695 	99.98681 
抺	240	0.12643 	99.98682 
佾	240	0.12643 	99.98684 
鲩	239	0.12590 	99.98685 
鸰	239	0.12590 	99.98686 
書	239	0.12590 	99.98688 
谳	239	0.12590 	99.98689 
棼	238	0.12537 	99.98690 
苷	238	0.12537 	99.98691 
觚	238	0.12537 	99.98693 
萏	237	0.12485 	99.98694 
熘	237	0.12485 	99.98695 
媽	237	0.12485 	99.98696 
佺	237	0.12485 	99.98698 
嫈	237	0.12485 	99.98699 
羝	236	0.12432 	99.98700 
鹕	236	0.12432 	99.98701 
睏	236	0.12432 	99.98703 
觜	236	0.12432 	99.98704 
號	235	0.12379 	99.98705 
喾	235	0.12379 	99.98706 
満	235	0.12379 	99.98707 
蘖	235	0.12379 	99.98709 
剡	235	0.12379 	99.98710 
溫	235	0.12379 	99.98711 
響	235	0.12379 	99.98712 
譞	235	0.12379 	99.98714 
爭	235	0.12379 	99.98715 
椐	234	0.12327 	99.98716 
鍊	234	0.12327 	99.98717 
狝	234	0.12327 	99.98719 
曩	233	0.12274 	99.98720 
麴	233	0.12274 	99.98721 
瑷	232	0.12221 	99.98722 
誗	232	0.12221 	99.98723 
砗	232	0.12221 	99.98725 
髁	232	0.12221 	99.98726 
領	232	0.12221 	99.98727 
蚍	232	0.12221 	99.98728 
怱	231	0.12169 	99.98730 
阃	231	0.12169 	99.98731 
溲	230	0.12116 	99.98732 
匏	229	0.12063 	99.98733 
桡	229	0.12063 	99.98734 
狺	229	0.12063 	99.98736 
鲢	228	0.12011 	99.98737 
耨	228	0.12011 	99.98738 
鋹	227	0.11958 	99.98739 
煖	227	0.11958 	99.98740 
豳	226	0.11905 	99.98742 
傑	226	0.11905 	99.98743 
燒	226	0.11905 	99.98744 
舨	225	0.11853 	99.98745 
缑	225	0.11853 	99.98746 
猓	225	0.11853 	99.98748 
愦	225	0.11853 	99.98749 
蝾	225	0.11853 	99.98750 
疋	225	0.11853 	99.98751 
蹾	224	0.11800 	99.98752 
榧	224	0.11800 	99.98753 
搴	224	0.11800 	99.98755 
洫	224	0.11800 	99.98756 
蚜	224	0.11800 	99.98757 
員	224	0.11800 	99.98758 
荸	223	0.11747 	99.98759 
磙	223	0.11747 	99.98761 
釐	223	0.11747 	99.98762 
坜	223	0.11747 	99.98763 
粜	223	0.11747 	99.98764 
螈	223	0.11747 	99.98765 
轭	222	0.11695 	99.98766 
踫	222	0.11695 	99.98768 
绨	222	0.11695 	99.98769 
摀	222	0.11695 	99.98770 
庋	221	0.11642 	99.98771 
抔	221	0.11642 	99.98772 
珃	221	0.11642 	99.98773 
詝	221	0.11642 	99.98775 
計	220	0.11589 	99.98776 
皲	220	0.11589 	99.98777 
魚	220	0.11589 	99.98778 
胝	220	0.11589 	99.98779 
犼	219	0.11537 	99.98780 
滹	219	0.11537 	99.98782 
蕗	219	0.11537 	99.98783 
铍	219	0.11537 	99.98784 
麈	219	0.11537 	99.98785 
邗	218	0.11484 	99.98786 
跏	218	0.11484 	99.98787 
锔	218	0.11484 	99.98788 
蝣	218	0.11484 	99.98790 
論	217	0.11431 	99.98791 
習	217	0.11431 	99.98792 
鲋	216	0.11378 	99.98793 
誄	216	0.11378 	99.98794 
寔	216	0.11378 	99.98795 
網	216	0.11378 	99.98796 
柙	216	0.11378 	99.98798 
鸫	215	0.11326 	99.98799 
罘	215	0.11326 	99.98800 
浤	215	0.11326 	99.98801 
獍	215	0.11326 	99.98802 
硼	215	0.11326 	99.98803 
疝	215	0.11326 	99.98804 
勰	215	0.11326 	99.98805 
鹾	214	0.11273 	99.98807 
掛	214	0.11273 	99.98808 
扃	214	0.11273 	99.98809 
皤	214	0.11273 	99.98810 
潲	214	0.11273 	99.98811 
笥	214	0.11273 	99.98812 
痋	214	0.11273 	99.98813 
葸	214	0.11273 	99.98814 
鲱	213	0.11220 	99.98816 
旰	213	0.11220 	99.98817 
燝	213	0.11220 	99.98818 
賣	213	0.11220 	99.98819 
溏	213	0.11220 	99.98820 
險	213	0.11220 	99.98821 
憶	213	0.11220 	99.98822 
偾	212	0.11168 	99.98823 
溽	212	0.11168 	99.98825 
伲	211	0.11115 	99.98826 
揎	211	0.11115 	99.98827 
剞	210	0.11062 	99.98828 
禮	210	0.11062 	99.98829 
秾	210	0.11062 	99.98830 
晳	210	0.11062 	99.98831 
锗	210	0.11062 	99.98832 
華	209	0.11010 	99.98833 
悝	209	0.11010 	99.98835 
漭	209	0.11010 	99.98836 
痦	209	0.11010 	99.98837 
寘	209	0.11010 	99.98838 
屬	209	0.11010 	99.98839 
狀	209	0.11010 	99.98840 
桿	208	0.10957 	99.98841 
嘏	208	0.10957 	99.98842 
樛	208	0.10957 	99.98843 
袢	208	0.10957 	99.98844 
礻	208	0.10957 	99.98846 
鳎	208	0.10957 	99.98847 
嘆	208	0.10957 	99.98848 
願	208	0.10957 	99.98849 
昝	208	0.10957 	99.98850 
咹	207	0.10904 	99.98851 
滏	207	0.10904 	99.98852 
釋	207	0.10904 	99.98853 
薩	206	0.10852 	99.98854 
廨	206	0.10852 	99.98855 
觳	205	0.10799 	99.98856 
璔	205	0.10799 	99.98858 
綝	204	0.10746 	99.98859 
戢	204	0.10746 	99.98860 
桷	204	0.10746 	99.98861 
舻	204	0.10746 	99.98862 
黙	204	0.10746 	99.98863 
郛	203	0.10694 	99.98864 
羅	203	0.10694 	99.98865 
彖	203	0.10694 	99.98866 
袛	202	0.10641 	99.98867 
裉	202	0.10641 	99.98868 
買	202	0.10641 	99.98869 
蓐	202	0.10641 	99.98870 
脘	202	0.10641 	99.98871 
疠	201	0.10588 	99.98872 
艋	201	0.10588 	99.98874 
嬲	200	0.10536 	99.98875 
锜	200	0.10536 	99.98876 
綎	200	0.10536 	99.98877 
業	200	0.10536 	99.98878 
獨	199	0.10483 	99.98879 
郇	199	0.10483 	99.98880 
粝	199	0.10483 	99.98881 
參	198	0.10430 	99.98882 
歷	198	0.10430 	99.98883 
蠱	197	0.10378 	99.98884 
厲	197	0.10378 	99.98885 
鹩	197	0.10378 	99.98886 
耜	197	0.10378 	99.98887 
坼	196	0.10325 	99.98888 
埕	196	0.10325 	99.98889 
髮	196	0.10325 	99.98890 
迴	196	0.10325 	99.98891 
鹪	196	0.10325 	99.98892 
栌	196	0.10325 	99.98893 
紓	196	0.10325 	99.98894 
陰	196	0.10325 	99.98895 
砩	195	0.10272 	99.98896 
尜	195	0.10272 	99.98897 
宄	195	0.10272 	99.98898 
瘊	195	0.10272 	99.98899 
嫠	195	0.10272 	99.98901 
蠓	195	0.10272 	99.98902 
洳	195	0.10272 	99.98903 
筥	194	0.10220 	99.98904 
埒	194	0.10220 	99.98905 
墁	194	0.10220 	99.98906 
廝	194	0.10220 	99.98907 
铊	194	0.10220 	99.98908 
愔	194	0.10220 	99.98909 
講	193	0.10167 	99.98910 
锂	193	0.10167 	99.98911 
脫	193	0.10167 	99.98912 
蔟	192	0.10114 	99.98913 
蹀	192	0.10114 	99.98914 
剋	192	0.10114 	99.98915 
颟	192	0.10114 	99.98916 
劬	192	0.10114 	99.98917 
濞	191	0.10062 	99.98918 
飯	191	0.10062 	99.98919 
飄	191	0.10062 	99.98920 
曈	191	0.10062 	99.98921 
醫	191	0.10062 	99.98922 
誘	191	0.10062 	99.98923 
鲎	190	0.10009 	99.98924 
蠖	190	0.10009 	99.98925 
悃	190	0.10009 	99.98926 
祕	190	0.10009 	99.98927 
係	190	0.10009 	99.98928 
唣	190	0.10009 	99.98929 
谮	190	0.10009 	99.98930 
畀	189	0.09956 	99.98931 
紛	189	0.09956 	99.98932 
裒	189	0.09956 	99.98933 
咥	189	0.09956 	99.98934 
磾	188	0.09903 	99.98935 
訞	188	0.09903 	99.98936 
镲	187	0.09851 	99.98937 
锝	187	0.09851 	99.98938 
煩	187	0.09851 	99.98939 
伕	187	0.09851 	99.98940 
郫	187	0.09851 	99.98941 
蚬	187	0.09851 	99.98942 
淯	187	0.09851 	99.98943 
邡	186	0.09798 	99.98944 
奭	186	0.09798 	99.98945 
嗍	186	0.09798 	99.98946 
臜	186	0.09798 	99.98947 
讚	186	0.09798 	99.98948 
蟲	185	0.09745 	99.98949 
頂	185	0.09745 	99.98950 
螨	185	0.09745 	99.98951 
阈	185	0.09745 	99.98952 
赜	185	0.09745 	99.98952 
組	185	0.09745 	99.98953 
怍	185	0.09745 	99.98954 
爌	184	0.09693 	99.98955 
歲	184	0.09693 	99.98956 
鳐	184	0.09693 	99.98957 
鄣	184	0.09693 	99.98958 
嚐	183	0.09640 	99.98959 
敵	183	0.09640 	99.98960 
陔	183	0.09640 	99.98961 
歔	183	0.09640 	99.98962 
遊	183	0.09640 	99.98963 
狁	183	0.09640 	99.98964 
拶	183	0.09640 	99.98965 
擺	182	0.09587 	99.98966 
汆	182	0.09587 	99.98967 
矽	182	0.09587 	99.98968 
觯	182	0.09587 	99.98969 
鹣	181	0.09535 	99.98970 
呣	181	0.09535 	99.98971 
绹	181	0.09535 	99.98972 
託	181	0.09535 	99.98973 
卍	181	0.09535 	99.98974 
卐	181	0.09535 	99.98975 
涬	181	0.09535 	99.98976 
肏	180	0.09482 	99.98977 
呒	180	0.09482 	99.98977 
袴	180	0.09482 	99.98978 
钼	180	0.09482 	99.98979 
磲	180	0.09482 	99.98980 
颡	180	0.09482 	99.98981 
勝	180	0.09482 	99.98982 
湜	180	0.09482 	99.98983 
顧	179	0.09429 	99.98984 
皞	179	0.09429 	99.98985 
換	179	0.09429 	99.98986 
齮	179	0.09429 	99.98987 
彈	178	0.09377 	99.98988 
搛	178	0.09377 	99.98989 
蝰	178	0.09377 	99.98990 
冇	178	0.09377 	99.98991 
眄	178	0.09377 	99.98992 
慊	178	0.09377 	99.98993 
劁	178	0.09377 	99.98993 
畋	178	0.09377 	99.98994 
棗	178	0.09377 	99.98995 
肫	178	0.09377 	99.98996 
貴	177	0.09324 	99.98997 
夾	177	0.09324 	99.98998 
崦	177	0.09324 	99.98999 
幷	176	0.09271 	99.99000 
慘	176	0.09271 	99.99001 
陳	176	0.09271 	99.99002 
瘋	176	0.09271 	99.99003 
冏	176	0.09271 	99.99004 
酹	176	0.09271 	99.99005 
雮	176	0.09271 	99.99006 
順	176	0.09271 	99.99007 
塚	176	0.09271 	99.99007 
簏	175	0.09219 	99.99008 
胼	175	0.09219 	99.99009 
術	175	0.09219 	99.99010 
髒	175	0.09219 	99.99011 
皝	174	0.09166 	99.99012 
脩	174	0.09166 	99.99013 
稱	173	0.09113 	99.99014 
瘳	173	0.09113 	99.99015 
锑	173	0.09113 	99.99016 
蝓	173	0.09113 	99.99017 
暌	172	0.09061 	99.99018 
壓	172	0.09061 	99.99018 
舁	172	0.09061 	99.99019 
佔	172	0.09061 	99.99020 
诜	171	0.09008 	99.99021 
芗	171	0.09008 	99.99022 
尢	171	0.09008 	99.99023 
墬	170	0.08955 	99.99024 
菔	170	0.08955 	99.99025 
瑨	170	0.08955 	99.99026 
尙	170	0.08955 	99.99027 
選	170	0.08955 	99.99027 
蟻	170	0.08955 	99.99028 
瞾	170	0.08955 	99.99029 
犨	169	0.08903 	99.99030 
焓	169	0.08903 	99.99031 
琍	169	0.08903 	99.99032 
蒌	169	0.08903 	99.99033 
旆	169	0.08903 	99.99034 
愬	169	0.08903 	99.99035 
胙	169	0.08903 	99.99035 
畢	168	0.08850 	99.99036 
癡	168	0.08850 	99.99037 
靸	168	0.08850 	99.99038 
癒	168	0.08850 	99.99039 
浈	168	0.08850 	99.99040 
觇	167	0.08797 	99.99041 
缣	167	0.08797 	99.99042 
簡	167	0.08797 	99.99043 
颞	167	0.08797 	99.99043 
唦	167	0.08797 	99.99044 
碡	167	0.08797 	99.99045 
補	166	0.08745 	99.99046 
擔	166	0.08745 	99.99047 
谠	166	0.08745 	99.99048 
丟	166	0.08745 	99.99049 
楙	166	0.08745 	99.99050 
埽	166	0.08745 	99.99050 
聯	165	0.08692 	99.99051 
衝	164	0.08639 	99.99052 
栲	164	0.08639 	99.99053 
牆	164	0.08639 	99.99054 
統	164	0.08639 	99.99055 
倖	164	0.08639 	99.99056 
鞬	163	0.08587 	99.99056 
鑛	163	0.08587 	99.99057 
猲	163	0.08587 	99.99058 
俶	162	0.08534 	99.99059 
踔	162	0.08534 	99.99060 
鲷	162	0.08534 	99.99061 
袼	162	0.08534 	99.99062 
芟	162	0.08534 	99.99062 
僳	162	0.08534 	99.99063 
產	161	0.08481 	99.99064 
磻	160	0.08428 	99.99065 
槭	160	0.08428 	99.99066 
討	160	0.08428 	99.99067 
呡	160	0.08428 	99.99067 
鲞	160	0.08428 	99.99068 
蚴	160	0.08428 	99.99069 
紙	160	0.08428 	99.99070 
邠	159	0.08376 	99.99071 
桴	159	0.08376 	99.99072 
佧	159	0.08376 	99.99073 
蒉	159	0.08376 	99.99073 
哢	159	0.08376 	99.99074 
檠	159	0.08376 	99.99075 
囟	159	0.08376 	99.99076 
飑	158	0.08323 	99.99077 
燔	158	0.08323 	99.99078 
費	158	0.08323 	99.99078 
騙	158	0.08323 	99.99079 
狨	158	0.08323 	99.99080 
觫	158	0.08323 	99.99081 
疃	158	0.08323 	99.99082 
鲊	158	0.08323 	99.99083 
伷	158	0.08323 	99.99083 
俵	157	0.08270 	99.99084 
賓	157	0.08270 	99.99085 
誴	157	0.08270 	99.99086 
幞	157	0.08270 	99.99087 
琇	157	0.08270 	99.99088 
溴	157	0.08270 	99.99088 
栘	157	0.08270 	99.99089 
骔	157	0.08270 	99.99090 
唑	157	0.08270 	99.99091 
苊	156	0.08218 	99.99092 
騔	156	0.08218 	99.99092 
獚	156	0.08218 	99.99093 
溷	156	0.08218 	99.99094 
囉	156	0.08218 	99.99095 
鲆	156	0.08218 	99.99096 
掊	156	0.08218 	99.99097 
玡	156	0.08218 	99.99097 
畚	155	0.08165 	99.99098 
骖	155	0.08165 	99.99099 
榇	155	0.08165 	99.99100 
癜	155	0.08165 	99.99101 
舉	155	0.08165 	99.99101 
鮮	155	0.08165 	99.99102 
塵	154	0.08112 	99.99103 
堠	154	0.08112 	99.99104 
泖	154	0.08112 	99.99105 
浼	154	0.08112 	99.99106 
硗	154	0.08112 	99.99106 
質	154	0.08112 	99.99107 
隹	154	0.08112 	99.99108 
哿	153	0.08060 	99.99109 
睺	153	0.08060 	99.99110 
僦	153	0.08060 	99.99110 
帥	153	0.08060 	99.99111 
釭	152	0.08007 	99.99112 
硷	152	0.08007 	99.99113 
瑠	152	0.08007 	99.99114 
隈	152	0.08007 	99.99114 
碚	151	0.07954 	99.99115 
劉	151	0.07954 	99.99116 
盤	151	0.07954 	99.99117 
馓	151	0.07954 	99.99118 
沢	151	0.07954 	99.99118 
側	150	0.07902 	99.99119 
奮	150	0.07902 	99.99120 
隳	150	0.07902 	99.99121 
熦	150	0.07902 	99.99122 
罱	150	0.07902 	99.99122 
戀	150	0.07902 	99.99123 
怃	150	0.07902 	99.99124 
嵫	150	0.07902 	99.99125 
採	149	0.07849 	99.99125 
偙	149	0.07849 	99.99126 
篼	149	0.07849 	99.99127 
鐇	149	0.07849 	99.99128 
揮	149	0.07849 	99.99129 
凊	149	0.07849 	99.99129 
僴	149	0.07849 	99.99130 
捽	149	0.07849 	99.99131 
彳	148	0.07796 	99.99132 
觌	148	0.07796 	99.99133 
揲	148	0.07796 	99.99133 
辊	148	0.07796 	99.99134 
垕	148	0.07796 	99.99135 
篥	148	0.07796 	99.99136 
垴	148	0.07796 	99.99136 
區	148	0.07796 	99.99137 
設	148	0.07796 	99.99138 
呑	148	0.07796 	99.99139 
醢	147	0.07744 	99.99140 
虮	147	0.07744 	99.99140 
诎	147	0.07744 	99.99141 
绱	147	0.07744 	99.99142 
昺	146	0.07691 	99.99143 
艹	146	0.07691 	99.99143 
蟗	146	0.07691 	99.99144 
埘	146	0.07691 	99.99145 
陬	146	0.07691 	99.99146 
祓	145	0.07638 	99.99146 
翚	145	0.07638 	99.99147 
锩	145	0.07638 	99.99148 
蠼	145	0.07638 	99.99149 
弒	145	0.07638 	99.99150 
菘	145	0.07638 	99.99150 
養	145	0.07638 	99.99151 
圯	145	0.07638 	99.99152 
羑	145	0.07638 	99.99153 
啫	145	0.07638 	99.99153 
锕	144	0.07586 	99.99154 
赑	144	0.07586 	99.99155 
負	144	0.07586 	99.99156 
糺	144	0.07586 	99.99156 
櫻	144	0.07586 	99.99157 
倧	144	0.07586 	99.99158 
戥	143	0.07533 	99.99159 
蚶	143	0.07533 	99.99159 
佷	143	0.07533 	99.99160 
課	143	0.07533 	99.99161 
侔	143	0.07533 	99.99162 
談	143	0.07533 	99.99162 
砼	143	0.07533 	99.99163 
鳳	142	0.07480 	99.99164 
藁	142	0.07480 	99.99165 
呙	142	0.07480 	99.99165 
鏡	142	0.07480 	99.99166 
靘	142	0.07480 	99.99167 
偉	142	0.07480 	99.99168 
絷	142	0.07480 	99.99168 
豬	142	0.07480 	99.99169 
檛	142	0.07480 	99.99170 
镡	141	0.07428 	99.99171 
擋	141	0.07428 	99.99171 
崐	141	0.07428 	99.99172 
牾	141	0.07428 	99.99173 
丅	141	0.07428 	99.99174 
硃	141	0.07428 	99.99174 
釆	140	0.07375 	99.99175 
籴	140	0.07375 	99.99176 
佴	140	0.07375 	99.99177 
瞢	140	0.07375 	99.99177 
杪	140	0.07375 	99.99178 
遹	140	0.07375 	99.99179 
昃	140	0.07375 	99.99180 
弻	139	0.07322 	99.99180 
搥	139	0.07322 	99.99181 
堅	139	0.07322 	99.99182 
節	139	0.07322 	99.99182 
鬏	139	0.07322 	99.99183 
缧	139	0.07322 	99.99184 
耪	139	0.07322 	99.99185 
訝	139	0.07322 	99.99185 
揠	139	0.07322 	99.99186 
淏	138	0.07270 	99.99187 
畫	138	0.07270 	99.99188 
騎	138	0.07270 	99.99188 
橼	138	0.07270 	99.99189 
雜	138	0.07270 	99.99190 
敗	137	0.07217 	99.99190 
爨	137	0.07217 	99.99191 
蓋	137	0.07217 	99.99192 
伋	137	0.07217 	99.99193 
蛶	137	0.07217 	99.99193 
狃	137	0.07217 	99.99194 
萩	137	0.07217 	99.99195 
須	137	0.07217 	99.99196 
诼	137	0.07217 	99.99196 
嗌	136	0.07164 	99.99197 
頓	136	0.07164 	99.99198 
驩	136	0.07164 	99.99198 
輪	136	0.07164 	99.99199 
嘌	136	0.07164 	99.99200 
蛴	136	0.07164 	99.99201 
畎	136	0.07164 	99.99201 
詩	136	0.07164 	99.99202 
楯	136	0.07164 	99.99203 
議	136	0.07164 	99.99203 
雩	136	0.07164 	99.99204 
鹆	136	0.07164 	99.99205 
蕞	136	0.07164 	99.99206 
顫	135	0.07112 	99.99206 
盪	135	0.07112 	99.99207 
殭	135	0.07112 	99.99208 
皊	135	0.07112 	99.99208 
脬	135	0.07112 	99.99209 
羼	134	0.07059 	99.99210 
萊	134	0.07059 	99.99211 
缬	134	0.07059 	99.99211 
鍼	134	0.07059 	99.99212 
漶	133	0.07006 	99.99213 
叡	133	0.07006 	99.99213 
賞	133	0.07006 	99.99214 
圖	133	0.07006 	99.99215 
奼	132	0.06954 	99.99215 
哕	132	0.06954 	99.99216 
荛	132	0.06954 	99.99217 
適	132	0.06954 	99.99218 
谇	132	0.06954 	99.99218 
驗	132	0.06954 	99.99219 
廛	131	0.06901 	99.99220 
廣	131	0.06901 	99.99220 
埳	131	0.06901 	99.99221 
罵	131	0.06901 	99.99222 
丏	131	0.06901 	99.99222 
狔	131	0.06901 	99.99223 
嚴	131	0.06901 	99.99224 
鑽	131	0.06901 	99.99224 
氚	130	0.06848 	99.99225 
蒽	130	0.06848 	99.99226 
袷	130	0.06848 	99.99226 
懼	130	0.06848 	99.99227 
焌	130	0.06848 	99.99228 
甍	130	0.06848 	99.99229 
黾	130	0.06848 	99.99229 
烃	130	0.06848 	99.99230 
铵	129	0.06795 	99.99231 
鬯	129	0.06795 	99.99231 
鵰	129	0.06795 	99.99232 
魽	129	0.06795 	99.99233 
铓	129	0.06795 	99.99233 
濃	129	0.06795 	99.99234 
襻	129	0.06795 	99.99235 
嗾	129	0.06795 	99.99235 
躞	129	0.06795 	99.99236 
緣	129	0.06795 	99.99237 
柽	128	0.06743 	99.99237 
镉	128	0.06743 	99.99238 
遘	128	0.06743 	99.99239 
诖	128	0.06743 	99.99239 
绲	128	0.06743 	99.99240 
岵	128	0.06743 	99.99241 
環	128	0.06743 	99.99241 
垍	128	0.06743 	99.99242 
價	128	0.06743 	99.99243 
據	128	0.06743 	99.99243 
涼	128	0.06743 	99.99244 
説	128	0.06743 	99.99245 
氽	128	0.06743 	99.99245 
責	128	0.06743 	99.99246 
錱	128	0.06743 	99.99247 
骯	127	0.06690 	99.99247 
钣	127	0.06690 	99.99248 
逭	127	0.06690 	99.99249 
麍	127	0.06690 	99.99250 
媺	127	0.06690 	99.99250 
豨	127	0.06690 	99.99251 
蹤	127	0.06690 	99.99252 
徹	126	0.06637 	99.99252 
徳	126	0.06637 	99.99253 
栱	126	0.06637 	99.99253 
漢	126	0.06637 	99.99254 
觖	126	0.06637 	99.99255 
莰	126	0.06637 	99.99255 
崑	126	0.06637 	99.99256 
茌	125	0.06585 	99.99257 
疔	125	0.06585 	99.99257 
茍	125	0.06585 	99.99258 
潔	125	0.06585 	99.99259 
圬	125	0.06585 	99.99259 
禊	125	0.06585 	99.99260 
虿	124	0.06532 	99.99261 
刳	124	0.06532 	99.99261 
蝤	124	0.06532 	99.99262 
預	124	0.06532 	99.99263 
嗻	124	0.06532 	99.99263 
睜	124	0.06532 	99.99264 
秕	123	0.06479 	99.99265 
蒼	123	0.06479 	99.99265 
葑	123	0.06479 	99.99266 
呋	123	0.06479 	99.99267 
匦	123	0.06479 	99.99267 
豇	123	0.06479 	99.99268 
堃	123	0.06479 	99.99269 
慄	123	0.06479 	99.99269 
嫽	123	0.06479 	99.99270 
铯	123	0.06479 	99.99271 
玹	123	0.06479 	99.99271 
圓	123	0.06479 	99.99272 
槍	122	0.06427 	99.99272 
垧	122	0.06427 	99.99273 
洧	122	0.06427 	99.99274 
顏	122	0.06427 	99.99274 
資	122	0.06427 	99.99275 
蠪	121	0.06374 	99.99276 
吣	121	0.06374 	99.99276 
亻	121	0.06374 	99.99277 
婑	121	0.06374 	99.99278 
贇	121	0.06374 	99.99278 
緾	120	0.06321 	99.99279 
劃	120	0.06321 	99.99279 
緩	120	0.06321 	99.99280 
跡	120	0.06321 	99.99281 
桕	120	0.06321 	99.99281 
钪	120	0.06321 	99.99282 
倐	120	0.06321 	99.99283 
浯	120	0.06321 	99.99283 
窬	120	0.06321 	99.99284 
紜	120	0.06321 	99.99285 
埴	120	0.06321 	99.99285 
惝	119	0.06269 	99.99286 
甙	119	0.06269 	99.99286 
崞	119	0.06269 	99.99287 
橫	119	0.06269 	99.99288 
彊	119	0.06269 	99.99288 
歐	119	0.06269 	99.99289 
眚	119	0.06269 	99.99290 
颃	118	0.06216 	99.99290 
觔	118	0.06216 	99.99291 
蛞	118	0.06216 	99.99291 
憐	118	0.06216 	99.99292 
臨	118	0.06216 	99.99293 
昽	118	0.06216 	99.99293 
牤	118	0.06216 	99.99294 
貏	117	0.06163 	99.99295 
蚵	117	0.06163 	99.99295 
镆	117	0.06163 	99.99296 
嫋	117	0.06163 	99.99296 
薷	117	0.06163 	99.99297 
獄	117	0.06163 	99.99298 
邧	117	0.06163 	99.99298 
瑧	117	0.06163 	99.99299 
茺	116	0.06111 	99.99299 
蕻	116	0.06111 	99.99300 
闶	116	0.06111 	99.99301 
爛	116	0.06111 	99.99301 
騄	116	0.06111 	99.99302 
瑢	116	0.06111 	99.99302 
嫜	116	0.06111 	99.99303 
罷	115	0.06058 	99.99304 
礡	115	0.06058 	99.99304 
郕	115	0.06058 	99.99305 
紞	115	0.06058 	99.99306 
撫	115	0.06058 	99.99306 
囝	115	0.06058 	99.99307 
蒗	115	0.06058 	99.99307 
嗙	115	0.06058 	99.99308 
骍	115	0.06058 	99.99309 
厊	115	0.06058 	99.99309 
蚰	115	0.06058 	99.99310 
標	114	0.06005 	99.99310 
鳔	114	0.06005 	99.99311 
巉	114	0.06005 	99.99312 
骶	114	0.06005 	99.99312 
階	114	0.06005 	99.99313 
褲	114	0.06005 	99.99313 
圹	114	0.06005 	99.99314 
焜	114	0.06005 	99.99315 
敉	114	0.06005 	99.99315 
呿	114	0.06005 	99.99316 
徬	113	0.05953 	99.99316 
幣	113	0.05953 	99.99317 
簦	113	0.05953 	99.99318 
枹	113	0.05953 	99.99318 
鎗	113	0.05953 	99.99319 
霑	113	0.05953 	99.99319 
畛	113	0.05953 	99.99320 
轵	113	0.05953 	99.99321 
黹	113	0.05953 	99.99321 
晡	112	0.05900 	99.99322 
燈	112	0.05900 	99.99322 
湔	112	0.05900 	99.99323 
瞀	112	0.05900 	99.99323 
啍	112	0.05900 	99.99324 
鲀	112	0.05900 	99.99325 
揚	112	0.05900 	99.99325 
貐	112	0.05900 	99.99326 
跦	112	0.05900 	99.99326 
荘	112	0.05900 	99.99327 
镚	111	0.05847 	99.99328 
閉	111	0.05847 	99.99328 
龀	111	0.05847 	99.99329 
歸	111	0.05847 	99.99329 
扌	111	0.05847 	99.99330 
聞	111	0.05847 	99.99331 
砉	111	0.05847 	99.99331 
篪	110	0.05795 	99.99332 
觸	110	0.05795 	99.99332 
島	110	0.05795 	99.99333 
鞔	110	0.05795 	99.99333 
仳	110	0.05795 	99.99334 
甡	110	0.05795 	99.99335 
芄	110	0.05795 	99.99335 
猃	110	0.05795 	99.99336 
溆	110	0.05795 	99.99336 
甾	110	0.05795 	99.99337 
钭	109	0.05742 	99.99337 
髑	109	0.05742 	99.99338 
髙	109	0.05742 	99.99339 
啯	109	0.05742 	99.99339 
锘	109	0.05742 	99.99340 
髂	109	0.05742 	99.99340 
權	109	0.05742 	99.99341 
枱	109	0.05742 	99.99342 
硪	109	0.05742 	99.99342 
潴	109	0.05742 	99.99343 
湊	108	0.05689 	99.99343 
邨	108	0.05689 	99.99344 
垱	108	0.05689 	99.99344 
宮	108	0.05689 	99.99345 
紀	108	0.05689 	99.99346 
裥	108	0.05689 	99.99346 
郐	108	0.05689 	99.99347 
瘘	108	0.05689 	99.99347 
碖	108	0.05689 	99.99348 
肶	108	0.05689 	99.99348 
蘋	108	0.05689 	99.99349 
屺	108	0.05689 	99.99349 
弢	108	0.05689 	99.99350 
維	108	0.05689 	99.99351 
猰	108	0.05689 	99.99351 
